cpf_anonimizado;valor_contrato;prazo_meses;taxa_juros_mensal;taxa_juros_anual;parcela_mensal;data_inicio;data_vencimento;meses_decorridos;saldo_devedor;status;valor_em_atraso;data_inadimplencia;data_retorno_pagamento
ANON-BD3CA9ED0CAD;88330,3;36;2,1231;28,6731;3534,33;2017-08-25;2020-08-25;36;0,0;ativo;0,0;;
ANON-7D091D0BADD6;104485,39;72;1,5254;19,9214;2401,12;2017-08-31;2023-08-31;72;0,0;ativo;0,0;2024-08-19;2026-03-25
ANON-9D6BACBF2407;127598,92;24;1,7828;23,6211;6581,45;2017-09-01;2019-09-01;24;0,0;ativo;0,0;;
ANON-B72275BED742;91893,65;24;1,5605;20,4198;4620,01;2017-09-04;2019-09-04;24;0,0;ativo;0,0;2017-12-16;2022-05-08
ANON-073F23E06ACC;45003,81;72;2,2904;31,2256;1281,78;2017-09-11;2023-09-11;72;0,0;ativo;0,0;;
ANON-64CB9F13AD51;7024,36;36;2,238;30,4212;286,23;2017-09-18;2020-09-18;36;0,0;inadimplente;286,23;2025-02-17;
ANON-194286A8E895;65572,71;48;2,2908;31,2317;2266,24;2017-09-20;2021-09-20;48;0,0;ativo;0,0;;
ANON-F1A4E062FE34;36203,87;96;1,6018;21,0088;741,11;2017-09-23;2025-09-23;96;0,0;ativo;0,0;2018-04-05;2023-08-24
ANON-0BE257459B11;79442,55;84;1,4543;18,9174;1644,27;2017-09-26;2024-09-26;84;0,0;ativo;0,0;;
ANON-7CA54B7DCB14;23875,72;96;1,4264;18,5256;458,21;2017-10-03;2025-10-03;96;0,0;ativo;0,0;;
ANON-FC748B1233AC;49390,82;84;1,727;22,8103;1118,42;2017-10-04;2024-10-04;84;0,0;ativo;0,0;;
ANON-E581E66357DF;26377,54;48;1,7397;22,9944;815,05;2017-10-09;2021-10-09;48;0,0;ativo;0,0;2025-09-05;2025-10-15
ANON-D80B7C8403FF;10045,37;72;1,4427;18,7544;225,23;2017-10-13;2023-10-13;72;0,0;ativo;0,0;;
ANON-CA173A325FEF;149649,55;72;1,9595;26,2212;3895,77;2017-10-13;2023-10-13;72;0,0;ativo;0,0;;
ANON-0F1D078AAD06;5001,51;96;1,5361;20,0731;99,96;2017-10-16;2025-10-16;96;0,0;ativo;0,0;;
ANON-2E6A1BAFACAD;137954,82;48;1,4372;18,6771;3998,3;2017-10-16;2021-10-16;48;0,0;ativo;0,0;;
ANON-89189055D0D6;2509,27;36;1,6961;22,3634;93,71;2017-10-18;2020-10-18;36;0,0;liquidado;0,0;;
ANON-F968A97EBE16;109543,8;72;2,3914;32,7889;3204,06;2017-10-19;2023-10-19;72;0,0;ativo;0,0;;
ANON-4D535C5A917C;122032,25;72;2,1586;29,2109;3355,16;2017-10-20;2023-10-20;72;0,0;ativo;0,0;;
ANON-68B568BBC34A;79770,7;96;1,4225;18,4709;1528,67;2017-10-20;2025-10-20;96;0,0;inadimplente;1528,67;2020-05-09;
ANON-5793AE6C14BC;46750,74;96;2,0452;27,5002;1115,94;2017-10-21;2025-10-21;96;0,0;ativo;0,0;2023-01-06;2024-08-30
ANON-0419866BA518;47244,03;48;2,354;32,208;1653,27;2017-10-24;2021-10-24;48;0,0;ativo;0,0;;
ANON-190A990CB94B;49025,64;48;1,8331;24,3562;1544,53;2017-10-24;2021-10-24;48;0,0;ativo;0,0;2024-06-28;2024-10-22
ANON-200A6CB1A830;140599,19;72;2,0144;27,0392;3716,29;2017-10-25;2023-10-25;72;0,0;inadimplente;3716,29;2024-08-11;
ANON-A1A4861E44C0;43738,5;12;1,4174;18,3994;3989,34;2017-10-26;2018-10-26;12;0,0;ativo;0,0;;
ANON-D4D197ACA5FE;59148,54;24;1,5923;20,8731;2984,69;2017-10-26;2019-10-26;24;0,0;ativo;0,0;;
ANON-12490E9878B9;75946,29;72;1,6841;22,1903;1828,35;2017-10-27;2023-10-27;72;0,0;ativo;0,0;;
ANON-2966C91E0FFC;86502,95;60;2,0209;27,1364;2501,12;2017-10-30;2022-10-30;60;0,0;liquidado;0,0;;
ANON-7D7542A6B614;49598,23;36;2,1438;28,9865;1991,1;2017-11-02;2020-11-02;36;0,0;inadimplente;1991,1;2019-02-18;
ANON-FF00D0DCB3CC;99645,39;48;2,2197;30,1413;3395,55;2017-11-02;2021-11-02;48;0,0;ativo;0,0;2025-11-24;2026-02-11
ANON-FDF161326AE7;66843,26;72;1,8031;23,9173;1665,15;2017-11-04;2023-11-04;72;0,0;liquidado;0,0;;
ANON-224012630740;148020,07;72;1,9851;26,602;3880,85;2017-11-05;2023-11-05;72;0,0;ativo;0,0;;
ANON-7D61125672B0;5631,54;24;1,4334;18,6238;278,98;2017-11-08;2019-11-08;24;0,0;ativo;0,0;;
ANON-E9DF0F3C136E;55962,88;24;1,7059;22,505;2861,16;2017-11-12;2019-11-12;24;0,0;liquidado;0,0;;
ANON-B859CB6F5901;126525,8;12;2,2597;30,7538;12155,87;2017-11-12;2018-11-12;12;0,0;inadimplente;12155,87;2019-05-19;
ANON-981E9168D44D;128193,95;24;1,773;23,4784;6604,72;2017-11-13;2019-11-13;24;0,0;ativo;0,0;2022-07-20;2023-04-07
ANON-E012BA6D8E35;67414,17;12;2,0064;26,9197;6377,16;2017-11-13;2018-11-13;12;0,0;inadimplente;6377,16;2025-04-29;
ANON-700F1D92C57A;34640,99;12;1,4101;18,2972;3158,13;2017-11-15;2018-11-15;12;0,0;ativo;0,0;;
ANON-560C4A3B7426;113625,78;72;1,5;19,5618;2591,55;2017-11-15;2023-11-15;72;0,0;ativo;0,0;;
ANON-884D2BE795FF;49989,05;72;1,9069;25,442;1282,36;2017-11-17;2023-11-17;72;0,0;ativo;0,0;;
ANON-DDF3BE07957A;57447,54;24;2,287;31,1733;3136,96;2017-11-19;2019-11-19;24;0,0;ativo;0,0;;
ANON-1DD1C2B89F78;61568,83;48;2,2465;30,5514;2109,26;2017-11-21;2021-11-21;48;0,0;ativo;0,0;;
ANON-BFCCA7E403CA;48340,63;96;2,046;27,5122;1154,19;2017-11-22;2025-11-22;96;0,0;liquidado;0,0;;
ANON-95A919631079;91636,81;84;1,9966;26,7735;2258,85;2017-11-24;2024-11-24;84;0,0;ativo;0,0;;
ANON-44037127AE36;61621,52;60;1,8137;24,0722;1693,68;2017-11-27;2022-11-27;60;0,0;ativo;0,0;;
ANON-837A720338E4;38182,68;84;1,555;20,3416;817,36;2017-11-27;2024-11-27;84;0,0;inadimplente;817,36;2023-08-17;
ANON-DEABFAA8DF10;138560,31;36;2,1567;29,1821;5573,86;2017-11-28;2020-11-28;36;0,0;liquidado;0,0;;
ANON-C80980DCEE51;73857,35;12;1,757;23,2456;6880,11;2017-12-01;2018-12-01;12;0,0;inadimplente;6880,11;2019-05-03;
ANON-492FFCAF5AAD;54091,31;36;1,8999;25,3387;2088,19;2017-12-04;2020-12-04;36;0,0;ativo;0,0;;
ANON-FDA5E90A0DB9;48983,08;84;1,8357;24,3943;1148,33;2017-12-06;2024-12-06;84;0,0;ativo;0,0;;
ANON-34923DB611D0;149652,44;60;1,5292;19,9752;3828,77;2017-12-07;2022-12-07;60;0,0;inadimplente;3828,77;2018-01-29;
ANON-817403624830;41399,55;60;2,0271;27,2291;1198,81;2017-12-07;2022-12-07;60;0,0;ativo;0,0;;
ANON-872A5F4EE1A5;51407,52;12;1,7662;23,3794;4791,55;2017-12-08;2018-12-08;12;0,0;ativo;0,0;;
ANON-DC9876BD4D42;82711,26;24;1,8925;25,2295;4319,96;2017-12-09;2019-12-09;24;0,0;ativo;0,0;;
ANON-AC4EDE2E3329;136172,41;60;1,9246;25,7037;3846,22;2017-12-09;2022-12-09;60;0,0;ativo;0,0;;
ANON-7E078EB7A483;146191,86;36;2,3373;31,9494;6050,78;2017-12-09;2020-12-09;36;0,0;ativo;0,0;;
ANON-5AECBBE9F80E;18734,6;60;1,9088;25,4701;527,12;2017-12-11;2022-12-11;60;0,0;inadimplente;527,12;2020-02-25;
ANON-2F0E105D80FC;131389,88;36;2,0659;27,8109;5209,51;2017-12-12;2020-12-12;36;0,0;ativo;0,0;2019-11-16;2020-07-27
ANON-41D3B317380A;108649,2;48;1,578;20,669;3244,96;2017-12-15;2021-12-15;48;0,0;liquidado;0,0;;
ANON-55B2EC7403CC;62597,83;84;1,5921;20,8702;1356,53;2017-12-18;2024-12-18;84;0,0;ativo;0,0;2020-11-26;2025-10-26
ANON-2FD525EC8786;41367,14;12;1,8294;24,302;3870,79;2017-12-18;2018-12-18;12;0,0;inadimplente;3870,79;2026-01-14;
ANON-AD4811407EB2;25265,63;96;2,2367;30,4013;641,89;2017-12-22;2025-12-22;96;0,0;ativo;0,0;;
ANON-11095E248764;105862,88;72;1,7784;23,557;2618,66;2017-12-24;2023-12-24;72;0,0;ativo;0,0;;
ANON-DF29BAA16713;84888,6;24;1,972;26,407;4473,93;2017-12-24;2019-12-24;24;0,0;ativo;0,0;2023-12-04;2024-01-03
ANON-F361BAEB8A13;128276,17;84;1,9864;26,6214;3152,1;2017-12-25;2024-12-25;84;0,0;ativo;0,0;;
ANON-6C15C8891048;136343,51;24;2,2835;31,1194;7442,21;2018-01-03;2020-01-03;24;0,0;inadimplente;7442,21;2021-11-13;
ANON-5A1E2113FE0C;34232,38;60;1,6498;21,6966;903,1;2018-01-04;2023-01-04;60;0,0;ativo;0,0;;
ANON-62C2732FBCFE;140992,18;24;2,2208;30,1581;7642,16;2018-01-08;2020-01-08;24;0,0;ativo;0,0;;
ANON-EB8004922ED4;56384,98;96;1,8734;24,9481;1270,12;2018-01-09;2026-01-09;96;0,0;ativo;0,0;;
ANON-508D8CB9D198;56066,17;96;2,0659;27,8109;1347,5;2018-01-10;2026-01-10;96;0,0;ativo;0,0;;
ANON-27557A21CDE8;129272,04;48;2,2356;30,3845;4419,08;2018-01-14;2022-01-14;48;0,0;ativo;0,0;2021-06-22;2022-10-22
ANON-1B2A9EBE7FD3;103645,65;84;1,9348;25,8548;2506,5;2018-01-15;2025-01-15;84;0,0;ativo;0,0;2024-11-04;2025-08-21
ANON-58799ADAEE5F;40095,88;84;1,7329;22,8958;909,66;2018-01-16;2025-01-16;84;0,0;inadimplente;909,66;2020-03-21;
ANON-791C21E347B5;49882,6;36;2,093;28,2188;1986,39;2018-01-16;2021-01-16;36;0,0;ativo;0,0;;
ANON-CDD7D324C4CD;27494,36;60;1,7826;23,6182;749,88;2018-01-17;2023-01-17;60;0,0;ativo;0,0;;
ANON-DE6BE472A30D;100605,65;84;2,2171;30,1016;2650,65;2018-01-21;2025-01-21;84;0,0;inadimplente;2650,65;2023-06-30;
ANON-4C93902F566F;94297,73;84;2,0735;27,9252;2379,72;2018-01-29;2025-01-29;84;0,0;ativo;0,0;;
ANON-9C0CB293446A;131892,35;60;1,795;23,7991;3608,31;2018-02-03;2023-02-03;60;0,0;ativo;0,0;;
ANON-6BEA7E795A00;108717,17;12;1,9744;26,4427;10264,1;2018-02-05;2019-02-05;12;0,0;ativo;0,0;;
ANON-6C6C52836444;117631,44;60;1,4676;19,1046;2962,24;2018-02-09;2023-02-09;60;0,0;ativo;0,0;2023-03-27;2025-09-11
ANON-9C48B334A92F;7699,67;24;1,9138;25,544;403,13;2018-02-13;2020-02-13;24;0,0;liquidado;0,0;;
ANON-BBA8F30FB382;98611,97;24;1,9807;26,5365;5202,33;2018-02-13;2020-02-13;24;0,0;liquidado;0,0;;
ANON-AE9E31D16C49;4001,53;60;2,285;31,1425;123,19;2018-02-13;2023-02-13;60;0,0;ativo;0,0;;
ANON-B6DB40C59680;29999,6;12;2,117;28,5809;2857,17;2018-02-19;2019-02-19;12;0,0;ativo;0,0;;
ANON-E415B662A0ED;68159,9;84;2,1774;29,4965;1774,73;2018-02-19;2025-02-19;84;0,0;ativo;0,0;;
ANON-B19BD46725A7;7146,7;96;2,0623;27,7569;171,56;2018-02-23;2026-02-23;96;0,0;liquidado;0,0;;
ANON-2BCF5E477621;81213,38;72;1,8899;25,1912;2073,43;2018-02-23;2024-02-23;72;0,0;ativo;0,0;;
ANON-F97FB728E8B4;149653,64;72;1,7491;23,1309;3670,95;2018-02-24;2024-02-24;72;0,0;ativo;0,0;;
ANON-BB9E1DE59045;116975,71;72;1,59;20,8402;2739,87;2018-02-26;2024-02-26;72;0,0;ativo;0,0;2022-07-15;2024-03-12
ANON-DB8586B90A27;17415,34;84;1,5555;20,3487;372,86;2018-03-02;2025-03-02;84;0,0;liquidado;0,0;;
ANON-A677AFC65E6C;2283,97;84;1,5889;20,8245;49,44;2018-03-10;2025-03-10;84;0,0;ativo;0,0;;
ANON-69844E9D6E68;93384,7;48;1,8498;24,6012;2952,21;2018-03-10;2022-03-10;48;0,0;ativo;0,0;;
ANON-A6E3B80798F9;14897,36;96;1,6768;22,085;313,28;2018-03-14;2026-03-14;96;0,0;ativo;0,0;2018-03-21;2022-09-19
ANON-32403B624BEE;46960,48;60;1,7312;22,8712;1264,49;2018-03-17;2023-03-17;60;0,0;ativo;0,0;;
ANON-D4B230712372;90780,96;72;2,3853;32,694;2651,03;2018-03-18;2024-03-18;72;0,0;ativo;0,0;;
ANON-849C8FD818C3;143696,32;48;1,7684;23,4114;4466,74;2018-03-20;2022-03-20;48;0,0;ativo;0,0;;
ANON-26472287E759;121060,13;24;1,9528;26,1217;6366,41;2018-03-21;2020-03-21;24;0,0;liquidado;0,0;;
ANON-1B47924B533D;86038,86;24;2,2784;31,041;4693,69;2018-03-23;2020-03-23;24;0,0;ativo;0,0;;
ANON-0F2B833140A1;84816,69;72;1,8112;24,0357;2117,76;2018-03-23;2024-03-23;72;0,0;ativo;0,0;2024-09-27;2025-10-31
ANON-EC53B6D1809D;114948,75;60;1,6274;21,3751;3015,38;2018-03-24;2023-03-24;60;0,0;inadimplente;3015,38;2018-09-05;
ANON-BD2101F58D6E;6397,13;84;1,5951;20,913;138,77;2018-03-25;2025-03-25;84;0,0;ativo;0,0;;
ANON-9C209C811546;7400,69;24;1,6635;21,8935;376,53;2018-03-26;2020-03-26;24;0,0;ativo;0,0;;
ANON-C9BA004AFA8C;91804,98;48;2,1316;28,8017;3073,72;2018-03-26;2022-03-26;48;0,0;liquidado;0,0;;
ANON-2443E069DFED;43941,7;96;1,6666;21,9381;920,7;2018-03-29;2026-03-29;96;0,0;ativo;0,0;;
ANON-30B363FD6717;53936,95;72;1,4686;19,1187;1218,72;2018-04-02;2024-04-02;72;0,0;inadimplente;1218,72;2024-01-16;
ANON-0898F46D9DDD;57320,31;24;1,5738;20,6092;2886,25;2018-04-03;2020-04-03;24;0,0;ativo;0,0;;
ANON-55C161F8A430;49711,0;84;1,9911;26,6915;1223,3;2018-04-04;2025-04-04;84;0,0;ativo;0,0;;
ANON-F59B1F9C6F5F;15189,81;96;2,1349;28,8517;373,43;2018-04-07;2026-04-07;95;365,63;ativo;0,0;;
ANON-DCF2AF328B33;52060,54;48;2,3055;31,4582;1804,49;2018-04-08;2022-04-08;48;0,0;ativo;0,0;;
ANON-30794F51FCAC;114237,77;36;2,197;29,7949;4624,89;2018-04-12;2021-04-12;36;0,0;liquidado;0,0;;
ANON-99EDEEB8FE2B;52531,73;12;1,8351;24,3855;4917,21;2018-04-12;2019-04-12;12;0,0;ativo;0,0;2019-02-21;2021-10-26
ANON-D5305D75AE9B;100022,38;96;1,8346;24,3782;2223,18;2018-04-13;2026-04-13;95;2183,13;ativo;0,0;;
ANON-E5AD823D0A7D;116388,26;12;1,8987;25,321;10937,27;2018-04-13;2019-04-13;12;0,0;inadimplente;10937,27;2023-12-03;
ANON-04C03D48A988;105030,35;84;2,0261;27,2142;2612,54;2018-04-16;2025-04-16;84;0,0;ativo;0,0;;
ANON-B66B6DB0937C;144722,6;48;2,007;26,9287;4724,95;2018-04-17;2022-04-17;48;0,0;ativo;0,0;;
ANON-B1137FE59EB2;53558,99;48;2,1197;28,6217;1788,92;2018-04-19;2022-04-19;48;0,0;ativo;0,0;2024-07-27;2025-02-17
ANON-7534F0E5F2CF;83872,35;24;1,9773;26,4859;4423,03;2018-04-30;2020-04-30;24;0,0;ativo;0,0;;
ANON-43F28C079116;8710,71;96;1,4773;19,2413;170,37;2018-05-02;2026-05-02;96;0,0;liquidado;0,0;;
ANON-D276691E97D8;7326,23;96;1,7018;22,4457;155,44;2018-05-08;2026-05-08;94;303,12;ativo;0,0;;
ANON-12FF9F3B247D;82691,31;60;2,3676;32,419;2595,21;2018-05-08;2023-05-08;60;0,0;ativo;0,0;;
ANON-DDA16BDAC7D9;65073,96;84;1,9567;26,1796;1584,44;2018-05-10;2025-05-10;84;0,0;ativo;0,0;;
ANON-28163B65B418;123460,23;36;2,0878;28,1404;4912,26;2018-05-11;2021-05-11;36;0,0;ativo;0,0;;
ANON-F2FE87653895;144227,82;24;1,983;26,5708;7610,81;2018-05-12;2020-05-12;24;0,0;inadimplente;7610,81;2024-01-03;
ANON-3B07B56087F8;145838,46;96;1,7321;22,8842;3127,57;2018-05-16;2026-05-16;94;6096,3;inadimplente;3127,57;2024-05-07;
ANON-97C30CE3CCED;39525,02;12;2,1533;29,1305;3772,75;2018-05-17;2019-05-17;12;0,0;ativo;0,0;;
ANON-7D3FB464970E;49887,02;96;2,0837;28,0787;1206,05;2018-05-21;2026-05-21;94;2338,75;ativo;0,0;;
ANON-56268500B418;9938,63;84;1,9615;26,2509;242,35;2018-05-24;2025-05-24;84;0,0;ativo;0,0;;
ANON-17D8201ADA9A;75874,3;60;1,7318;22,8799;2043,34;2018-05-27;2023-05-27;60;0,0;ativo;0,0;2023-10-30;2025-03-24
ANON-8723C16DDF65;130582,96;24;1,5429;20,1696;6551,76;2018-05-28;2020-05-28;24;0,0;ativo;0,0;;
ANON-00E4100EE817;87274,96;48;2,3078;31,4937;3026,44;2018-05-29;2022-05-29;48;0,0;inadimplente;3026,44;2021-10-05;
ANON-94E6CB7B3F13;33457,76;24;2,1512;29,0986;1799,39;2018-05-30;2020-05-30;24;0,0;ativo;0,0;;
ANON-C5A43414444A;90229,9;60;2,2808;31,0779;2775,17;2018-05-31;2023-05-31;60;0,0;ativo;0,0;;
ANON-400636D6BCA5;18697,79;48;1,7768;23,5337;582,23;2018-06-02;2022-06-02;48;0,0;ativo;0,0;;
ANON-A35D80842D12;112046,89;84;2,3689;32,4392;3086,09;2018-06-03;2025-06-03;84;0,0;ativo;0,0;;
ANON-8BA96AF7CDF3;95061,6;12;2,2106;30,0024;9105,65;2018-06-04;2019-06-04;12;0,0;ativo;0,0;;
ANON-D27206D76C6D;119573,46;12;2,1925;29,7264;11440,91;2018-06-08;2019-06-08;12;0,0;ativo;0,0;;
ANON-CE150042F935;60953,26;72;2,0137;27,0287;1610,79;2018-06-15;2024-06-15;72;0,0;ativo;0,0;;
ANON-E7FDF77BC387;89782,83;96;1,9644;26,294;2085,99;2018-06-16;2026-06-16;93;6019,91;ativo;0,0;;
ANON-3D45150EE9E1;92638,63;60;1,9095;25,4804;2606,95;2018-06-17;2023-06-17;60;0,0;ativo;0,0;;
ANON-FEE09C012A8D;63119,97;84;1,7312;22,8712;1431,23;2018-06-23;2025-06-23;84;0,0;ativo;0,0;2020-04-22;2023-03-23
ANON-C975867BB451;124553,95;24;1,8555;24,6849;6478,0;2018-06-25;2020-06-25;24;0,0;liquidado;0,0;;
ANON-49FBACED6F5A;120084,22;60;1,6173;21,2305;3142,04;2018-06-27;2023-06-27;60;0,0;liquidado;0,0;;
ANON-9130A80599B6;15020,8;36;1,5487;20,252;547,45;2018-06-27;2021-06-27;36;0,0;ativo;0,0;2024-11-03;2025-08-07
ANON-5F011B1C6B8F;71171,87;72;2,2458;30,5406;2003,18;2018-06-29;2024-06-29;72;0,0;ativo;0,0;;
ANON-D326181AE347;74243,3;48;2,391;32,7827;2617,02;2018-06-30;2022-06-30;48;0,0;ativo;0,0;;
ANON-17C03318BD5F;3457,2;12;2,3924;32,8045;334,84;2018-07-02;2019-07-02;12;0,0;ativo;0,0;;
ANON-7E0A2871A587;119533,3;24;2,3283;31,8102;6557,32;2018-07-06;2020-07-06;24;0,0;inadimplente;6557,32;2019-04-03;
ANON-FA5B53AA533E;141433,19;48;1,9745;26,4442;4587,09;2018-07-06;2022-07-06;48;0,0;ativo;0,0;;
ANON-06976C516813;24567,01;60;1,5732;20,6006;635,64;2018-07-06;2023-07-06;60;0,0;ativo;0,0;;
ANON-DA3D33090C68;25714,04;84;1,6911;22,2912;575,56;2018-07-07;2025-07-07;84;0,0;ativo;0,0;;
ANON-9FFEE0B21FE2;26780,56;24;1,5567;20,3658;1345,82;2018-07-08;2020-07-08;24;0,0;liquidado;0,0;2021-10-03;2022-06-01
ANON-251078080F2A;103188,74;72;1,5235;19,8944;2369,99;2018-07-08;2024-07-08;72;0,0;ativo;0,0;;
ANON-0807D394B694;49047,03;48;1,8269;24,2654;1543,22;2018-07-10;2022-07-10;48;0,0;ativo;0,0;;
ANON-047F99107C2A;70792,39;12;1,8145;24,0839;6618,07;2018-07-14;2019-07-14;12;0,0;ativo;0,0;;
ANON-115A50294C0A;124534,05;36;2,3546;32,2173;5168,36;2018-07-15;2021-07-15;36;0,0;inadimplente;5168,36;2020-04-09;
ANON-A26739F5D5E2;106632,73;72;1,4587;18,9793;2402,28;2018-07-15;2024-07-15;72;0,0;liquidado;0,0;;
ANON-F496C69D4709;101325,92;12;1,5318;20,0121;9307,97;2018-07-20;2019-07-20;12;0,0;ativo;0,0;;
ANON-CFE900079CF6;91712,36;24;1,4687;19,1201;4562,03;2018-07-21;2020-07-21;24;0,0;ativo;0,0;;
ANON-A97A59BF8F0F;149406,35;72;1,4959;19,5039;3403,47;2018-07-23;2024-07-23;72;0,0;ativo;0,0;;
ANON-7D2143761D56;64935,73;96;1,594;20,8973;1325,51;2018-07-29;2026-07-29;92;5097,31;ativo;0,0;;
ANON-0A216A7B1FF9;6428,1;24;2,1565;29,179;345,92;2018-07-29;2020-07-29;24;0,0;ativo;0,0;;
ANON-9970D536FAB8;104893,78;48;2,1317;28,8032;3512,02;2018-08-06;2022-08-06;48;0,0;inadimplente;3512,02;2025-07-24;
ANON-2F75AE80672D;76950,46;48;1,4011;18,1713;2212,98;2018-08-06;2022-08-06;48;0,0;ativo;0,0;2021-01-16;2025-06-28
ANON-322E33DA203B;13001,2;48;2,128;28,7472;434,98;2018-08-07;2022-08-07;48;0,0;liquidado;0,0;;
ANON-8DE01AC0E74E;11983,1;24;2,3599;32,2995;659,68;2018-08-07;2020-08-07;24;0,0;ativo;0,0;;
ANON-625C85B2B879;63551,77;60;2,1156;28,5598;1879,78;2018-08-16;2023-08-16;60;0,0;inadimplente;1879,78;2020-11-05;
ANON-7DD0708825AD;22308,1;60;1,6096;21,1203;582,56;2018-08-20;2023-08-20;60;0,0;inadimplente;582,56;2024-07-07;
ANON-6B955EA8308A;97716,14;60;1,9635;26,2807;2786,31;2018-08-22;2023-08-22;60;0,0;ativo;0,0;;
ANON-38617DAC51E2;91933,2;48;2,2474;30,5652;3150,06;2018-08-27;2022-08-27;48;0,0;ativo;0,0;;
ANON-53A6BF77397E;123637,07;72;2,0056;26,9078;3260,02;2018-08-30;2024-08-30;72;0,0;ativo;0,0;2025-05-24;2025-07-16
ANON-F61E92A98B59;148372,61;72;1,6882;22,2494;3576,2;2018-08-31;2024-08-31;72;0,0;inadimplente;3576,2;2022-07-27;
ANON-A50A8473D65A;125743,03;24;2,0166;27,0721;6660,68;2018-09-01;2020-09-01;24;0,0;ativo;0,0;;
ANON-806821CAF4AA;148046,94;48;1,8256;24,2464;4656,92;2018-09-01;2022-09-01;48;0,0;inadimplente;4656,92;2019-01-24;
ANON-F7E1A236A3BB;28314,41;60;2,1992;29,8285;854,3;2018-09-02;2023-09-02;60;0,0;ativo;0,0;;
ANON-6CDE288C5DB4;50217,36;36;1,759;23,2747;1894,73;2018-09-05;2021-09-05;36;0,0;ativo;0,0;;
ANON-12BF66148E3F;105913,71;36;1,4354;18,6519;3787,97;2018-09-09;2021-09-09;36;0,0;ativo;0,0;;
ANON-01E8A8BB9A2F;76352,98;48;2,369;32,4407;2679,8;2018-09-12;2022-09-12;48;0,0;ativo;0,0;;
ANON-2F750507CC23;125882,35;12;1,4032;18,2007;11471,42;2018-09-14;2019-09-14;12;0,0;ativo;0,0;;
ANON-DCC44F9FB0E3;6894,47;96;2,1667;29,3339;171,26;2018-09-17;2026-09-17;90;953,91;ativo;0,0;;
ANON-2256187DD7C0;21927,07;84;1,9325;25,8207;529,89;2018-09-17;2025-09-17;84;0,0;ativo;0,0;;
ANON-BA762C5F8E1E;123195,61;84;1,8436;24,5102;2895,35;2018-09-17;2025-09-17;84;0,0;ativo;0,0;;
ANON-FE7DC77D935B;13748,09;12;1,8887;25,1735;1291,14;2018-09-23;2019-09-23;12;0,0;inadimplente;1291,14;2019-11-18;
ANON-76E11D5A1C2F;9768,43;12;2,0749;27,9462;927,95;2018-09-24;2019-09-24;12;0,0;liquidado;0,0;;
ANON-D1C5FCD03A7A;99833,98;24;1,7218;22,735;5113,46;2018-09-24;2020-09-24;24;0,0;ativo;0,0;;
ANON-37B913E7B313;41856,16;48;2,2389;30,435;1431,76;2018-09-24;2022-09-24;48;0,0;ativo;0,0;;
ANON-A7FDA9119D46;20482,02;36;1,6946;22,3418;764,69;2018-09-25;2021-09-25;36;0,0;ativo;0,0;;
ANON-A8FF49766D68;118254,23;12;1,777;23,5366;11029,49;2018-09-25;2019-09-25;12;0,0;ativo;0,0;;
ANON-D56FB61253AB;113550,36;60;1,8694;24,8892;3164,14;2018-09-25;2023-09-25;60;0,0;liquidado;0,0;;
ANON-E6DBF87B6F2F;19537,15;84;1,4094;18,2874;398,27;2018-09-27;2025-09-27;84;0,0;ativo;0,0;;
ANON-59A5CF6E24B1;15649,17;60;2,1251;28,7034;463,93;2018-09-29;2023-09-29;60;0,0;ativo;0,0;;
ANON-B0450E48D568;15009,16;72;1,8059;23,9582;374,19;2018-09-30;2024-09-30;72;0,0;liquidado;0,0;;
ANON-66E6418ABFA2;80329,88;72;2,186;29,6274;2224,98;2018-09-30;2024-09-30;72;0,0;liquidado;0,0;;
ANON-39FD6E3A4D82;102243,3;72;2,0596;27,7163;2736,3;2018-09-30;2024-09-30;72;0,0;ativo;0,0;;
ANON-E868417309A6;1122,87;72;2,2047;29,9123;31,26;2018-10-05;2024-10-05;72;0,0;ativo;0,0;;
ANON-32730D9A15BB;77863,06;96;1,4638;19,0511;1515,27;2018-10-08;2026-10-08;89;10012,14;ativo;0,0;;
ANON-2BE150BC56B0;97533,74;24;1,4441;18,774;4837,73;2018-10-10;2020-10-10;24;0,0;ativo;0,0;;
ANON-55A08C64AB83;73420,74;84;1,7354;22,9321;1667,05;2018-10-13;2025-10-13;84;0,0;ativo;0,0;;
ANON-775DFC4730F5;72724,93;24;2,3605;32,3088;4003,85;2018-10-18;2020-10-18;24;0,0;liquidado;0,0;;
ANON-451A72114572;106063,77;72;1,8487;24,585;2676,59;2018-10-18;2024-10-18;72;0,0;liquidado;0,0;2020-08-19;2020-11-19
ANON-F033BA7E8218;118231,22;12;1,6029;21,0245;10909,04;2018-10-29;2019-10-29;12;0,0;inadimplente;10909,04;2020-10-26;
ANON-2BFF5D5035E4;71274,39;12;2,126;28,717;6791,94;2018-10-30;2019-10-30;12;0,0;ativo;0,0;;
ANON-8D5FED0CCE3D;108774,73;96;2,3445;32,0609;2859,3;2018-10-30;2026-10-30;89;18262,75;ativo;0,0;;
ANON-DA6BED171C8D;132034,09;12;2,0163;27,0676;12497,59;2018-10-31;2019-10-31;12;0,0;ativo;0,0;;
ANON-0D6ECC51FC8D;75392,76;60;1,4643;19,0582;1896,95;2018-11-04;2023-11-04;60;0,0;ativo;0,0;;
